best_bid_amount,best_ask_amount,ask_iv,bid_iv,underlying_index,underlying_price,mark_iv,best_bid_price,best_ask_price,interest_rate,mark_price,open_interest,max_price,min_price,settlement_price,last_price,asks,bids,instrument_name,index_price,change_id,timestamp,greeks.rho,greeks.theta,greeks.vega,greeks.gamma,greeks.delta,stats.volume_usd,stats.volume,stats.price_change,stats.low,stats.high,settlement_period,Expiration Date,Strike Price,Time to Expiration
0.0,0.0,0.0,0.0,ETH-29NOV24,2690.6,112.08,0.0,0.0,0.0,0.002,0.0,0.017,0.0001,0.001779,0.0001,[],[],ETH-29NOV24-6000-C,2634.45,14252039933,1730245601954,0.04066,-0.5675,0.36211,5e-05,0.0174,0.0,0.0,,,,month,29NOV24,6000,0.0821917808219178
0.0,68.0,124.23,0.0,ETH-27DEC24,2733.51,104.04,0.0,0.6365,0.0,0.6348,206.0,0.654,0.6195,0.628732,0.6175,"[[0.6365, 68.0]]",[],ETH-27DEC24-1000-C,2634.45,14429653730,1730245602060,1.57677,-0.12382,0.13887,1e-05,0.99567,0.0,0.0,,,,month,27DEC24,1000,0.1589041095890411
420.0,66.0,107.65,0.0,ETH-27DEC24,2733.52,93.03,0.561,0.564,0.0,0.5622,165.0,0.586,0.543,0.554803,0.54,"[[0.564, 66.0]]","[[0.561, 420.0]]",ETH-27DEC24-1200-C,2634.46,14429648099,1730245603068,1.87729,-0.19545,0.24514,2e-05,0.99179,0.0,0.0,,,,month,27DEC24,1200,0.1589041095890411
385.0,340.0,84.89,82.25,ETH-27DEC24,2733.52,83.57,0.0018,0.0022,0.0,0.002,13246.0,0.0165,0.0001,0.002188,0.0023,"[[0.0022, 340.0]]","[[0.0018, 385.0]]",ETH-27DEC24-1400-P,2634.46,14429650805,1730245602961,-0.07431,-0.29661,0.41418,4e-05,-0.01501,1067.67,160.0,-20.6897,0.0023,0.0029,month,27DEC24,1400,0.1589041095890411
1475.0,843.0,69.0,66.18,ETH-27DEC24,2733.52,67.59,0.0085,0.01,0.0,0.0092,68151.0,0.0385,0.0001,0.010239,0.0075,"[[0.01, 843.0]]","[[0.0085, 1475.0]]",ETH-27DEC24-1900-P,2634.46,14429651440,1730245603068,-0.3431,-0.84331,1.45589,0.00018,-0.06929,0.0,0.0,,,,month,27DEC24,1900,0.1589041095890411
0.0,15.0,291.15,0.0,ETH-29NOV24,2690.61,117.74,0.0,1.69,0.0,1.6022,0.0,1.7175,1.502,1.636495,1.7765,"[[1.69, 15.0]]",[],ETH-29NOV24-7000-P,2634.46,14375364456,1730245602961,-6.13406,-0.21689,0.11806,2e-05,-0.99486,0.0,0.0,,,,month,29NOV24,7000,0.0821917808219178
0.0,0.0,0.0,0.0,ETH-29NOV24,2690.61,112.08,0.0,0.0,0.0,1.232,0.0,1.3345,1.1445,1.26124,1.295,[],[],ETH-29NOV24-6000-P,2634.46,14252039944,1730245602961,-5.83731,-0.56752,0.36212,5e-05,-0.9826,0.0,0.0,,,,month,29NOV24,6000,0.0821917808219178
2400.0,282.0,106.99,101.09,ETH-27DEC24,2733.52,104.04,0.0005,0.0008,0.0,0.0006,1512.0,0.0155,0.0001,0.00072,0.0007,"[[0.0008, 282.0]]","[[0.0005, 2400.0], [0.0004, 720.0], [0.0003, 55118.0], [0.0002, 15992.0], [0.0001, 9939.0]]",ETH-27DEC24-1000-P,2634.46,14429648850,1730245603068,-0.02169,-0.12382,0.13888,1e-05,-0.00433,0.0,0.0,,,,month,27DEC24,1000,0.1589041095890411
0.0,0.0,0.0,0.0,ETH-29NOV24,2690.61,117.74,0.0,0.0,0.0,1.4174,0.0,1.527,1.323,1.449166,1.4671,[],[],ETH-29NOV24-6500-P,2634.46,14252040064,1730245602961,-6.33614,-0.48187,0.2927,4e-05,-0.98642,0.0,0.0,,,,month,29NOV24,6500,0.0821917808219178
0.0,0.0,0.0,0.0,ETH-29NOV24,2690.61,117.74,0.0,0.0,0.0,0.0009,0.0,0.0155,0.0001,0.000784,0.021,[],[],ETH-29NOV24-7000-C,2634.46,14252040099,1730245602961,0.0187,-0.30283,0.18394,2e-05,0.00797,0.0,0.0,,,,month,29NOV24,7000,0.0821917808219178
