best_bid_amount,best_ask_amount,bid_iv,ask_iv,underlying_index,underlying_price,mark_iv,interest_rate,best_bid_price,best_ask_price,open_interest,max_price,min_price,last_price,asks,bids,settlement_price,instrument_name,mark_price,index_price,change_id,timestamp,greeks.rho,greeks.theta,greeks.vega,greeks.gamma,greeks.delta,stats.volume_usd,stats.volume,stats.price_change,stats.low,stats.high,settlement_period
32.0,960.0,19.99,44.27,SYN.ETH-5FEB24,2304.2289,23.55,0.0,0.014,0.0195,2.0,0.043,0.0001,0.0145,"[[0.0195, 960.0]]","[[0.014, 32.0], [0.0105, 480.0]]",0.019124,ETH-5FEB24-2275-C,0.0147,2302.9,5968328486,1706969622124,0.08476,-3.13614,0.46346,0.00777,0.78614,5410.17,163.0,0.0,0.0135,0.015,day
6.0,17.0,23.08,24.56,SYN.ETH-5FEB24,2304.2289,23.55,0.0,0.0019,0.0022,504.0,0.0245,0.0001,0.0022,"[[0.0022, 17.0], [0.0023, 270.0], [0.0024, 479.0], [0.0027, 300.0], [0.0034, 602.0]]","[[0.0019, 6.0], [0.0017, 70.0], [0.0016, 137.0], [0.0015, 351.0], [0.0014, 300.0], [0.0012, 2.0]]",0.001871,ETH-5FEB24-2275-P,0.002,2302.9,5968328922,1706969622123,-0.02371,-3.13614,0.46346,0.00777,-0.21386,90350.71,7235.0,-74.1176,0.0019,0.0085,day
242.0,242.0,20.12,27.43,SYN.ETH-5FEB24,2304.2189,24.12,0.0,0.0065,0.0085,761.0,0.0345,0.0001,0.0085,"[[0.0085, 242.0], [0.01, 1440.0]]","[[0.0065, 242.0], [0.006, 722.0]]",0.010725,ETH-5FEB24-2300-C,0.0076,2302.87,5968327552,1706969623130,0.05927,-4.36871,0.63031,0.01032,0.5471,133329.79,5452.0,0.0,0.0075,0.0145,day
680.0,105.0,21.33,26.81,SYN.ETH-5FEB24,2304.2189,24.12,0.0,0.005,0.0065,59.0,0.0335,0.0001,0.005,"[[0.0065, 105.0], [0.008, 2.0], [0.0105, 20.0]]","[[0.005, 680.0], [0.0047, 553.0], [0.0046, 96.0], [0.0043, 1.0]]",0.004271,ETH-5FEB24-2300-P,0.0058,2302.87,5968327701,1706969623130,-0.05039,-4.36871,0.63031,0.01032,-0.4529,106358.12,5344.0,-64.2857,0.0034,0.014,day
23.0,21.0,23.23,24.49,SYN.ETH-5FEB24,2304.2189,23.82,0.0,0.0029,0.0032,127.0,0.0265,0.0001,0.0033,"[[0.0032, 21.0], [0.0033, 13.0], [0.0034, 8.0], [0.0037, 369.0], [0.0038, 303.0], [0.0047, 541.0], [0.0055, 1.0], [0.0065, 12.0]]","[[0.0029, 23.0], [0.0027, 157.0], [0.0025, 215.0], [0.0023, 5.0], [0.0022, 5.0]]",0.005395,ETH-5FEB24-2325-C,0.003,2302.87,5968328755,1706969623130,0.03212,-3.75929,0.54932,0.00911,0.29541,64577.9,4123.0,-45.0,0.003,0.009,day
4.0,2.0,11.16,23.52,SYN.ETH-5FEB24,2304.1798,23.83,0.0,0.0095,0.012,212.0,0.0425,0.0001,0.0105,"[[0.012, 2.0], [0.0145, 2.0]]","[[0.0095, 4.0]]",0.00974,ETH-5FEB24-2325-P,0.0121,2302.9,5968328987,1706969624138,-0.07876,-3.75939,0.54908,0.0091,-0.70486,63277.51,2132.0,-38.2353,0.008,0.017,day
16.0,97.0,24.28,25.66,SYN.ETH-5FEB24,2304.1798,24.93,0.0,0.001,0.0012,344.0,0.02,0.0001,0.0011,"[[0.0012, 97.0], [0.0013, 54.0], [0.0015, 309.0], [0.0018, 322.0], [0.0019, 322.0], [0.0028, 1266.0]]","[[0.001, 16.0], [0.0009, 242.0], [0.0008, 386.0], [0.0005, 34.0], [0.0001, 16.0]]",0.00227,ETH-5FEB24-2350-C,0.0011,2302.9,5968328769,1706969624138,0.01396,-2.38677,0.33322,0.00528,0.12814,25790.8,3068.0,-66.6667,0.0011,0.005,day
3.0,0.0,0.0,0.0,SYN.ETH-5FEB24,2304.1798,24.93,0.0,0.001,0.0,0.0,0.053,0.0003,,[],"[[0.001, 3.0]]",0.017415,ETH-5FEB24-2350-P,0.021,2302.9,5968279032,1706969624138,-0.09809,-2.38677,0.33322,0.00528,-0.87186,0.0,0.0,,,,day
9.0,10.0,26.78,29.22,SYN.ETH-5FEB24,2304.2037,27.58,0.0,0.0004,0.0006,344.0,0.016,0.0001,0.0007,"[[0.0006, 10.0], [0.0007, 330.0], [0.0009, 6.0], [0.001, 700.0], [0.0015, 2.0], [0.0021, 679.0]]","[[0.0004, 9.0], [0.0002, 202.0], [0.0001, 305.0]]",0.001047,ETH-5FEB24-2375-C,0.0005,2302.96,5968328834,1706969625144,0.00622,-1.06251,0.18232,0.00261,0.05711,2023.57,475.0,-65.0,0.0007,0.0023,day
3.0,0.0,0.0,0.0,SYN.ETH-5FEB24,2304.2037,27.58,0.0,0.011,0.0,0.0,0.0635,0.0035,,[],"[[0.011, 3.0]]",0.026992,ETH-5FEB24-2375-P,0.0312,2302.96,5968317226,1706969625146,-0.10701,-1.44478,0.18232,0.00261,-0.94289,0.0,0.0,,,,day
