best_bid_amount,best_ask_amount,ask_iv,bid_iv,underlying_index,underlying_price,mark_iv,best_bid_price,best_ask_price,interest_rate,mark_price,open_interest,max_price,min_price,settlement_price,last_price,asks,bids,instrument_name,index_price,change_id,timestamp,greeks.rho,greeks.theta,greeks.vega,greeks.gamma,greeks.delta,stats.volume_usd,stats.volume,stats.price_change,stats.low,stats.high,settlement_period,Expiration Date,Strike Price
29.5,38.5,63.66,52.5,BTC-29NOV24,68440.39,57.38,0.2155,0.2205,0.0,0.2175,80.4,0.2585,0.182,0.20094046,0.195,"[[0.2205, 38.5]]","[[0.2155, 29.5], [0.0315, 0.1]]",BTC-29NOV24-54000-C,66857.88,29188388423,1729886283794,45.70108,-25.05159,30.12964,1e-05,0.92387,0.0,0.0,,,,month,29NOV24,54000
32.7,39.1,61.95,51.97,BTC-29NOV24,68440.39,56.65,0.202,0.207,0.0,0.2042,12.7,0.246,0.168,0.18773491,0.182,"[[0.207, 39.1]]","[[0.202, 32.7]]",BTC-29NOV24-55000-C,66857.88,29188388415,1729886283794,45.67999,-27.999,34.10362,1e-05,0.91024,0.0,0.0,,,,month,29NOV24,55000
187.6,124.7,60.9,57.14,BTC-29NOV24,68440.39,59.0,0.005,0.0065,0.0,0.0057,72.8,0.029,0.0001,0.00773266,0.0055,"[[0.0065, 124.7]]","[[0.005, 187.6]]",BTC-29NOV24-53000-P,66857.88,29188230208,1729886283691,-4.69367,-23.3033,27.25898,1e-05,-0.06682,0.0,0.0,,,,month,29NOV24,53000
196.5,94.2,58.04,55.02,BTC-29NOV24,68441.05,56.66,0.007,0.0085,0.0,0.0078,100.1,0.0345,0.0001,0.01073817,0.013,"[[0.0085, 94.2]]","[[0.007, 196.5]]",BTC-29NOV24-55000-P,66858.36,29188221685,1729886284698,-6.31407,-28.00215,34.11196,1e-05,-0.08978,0.0,0.0,,,,month,29NOV24,55000
46.2,128.3,57.99,55.36,BTC-29NOV24,68441.05,56.66,0.009,0.0105,0.0,0.0097,90.1,0.039,0.0001,0.01274016,0.009,"[[0.0105, 128.3]]","[[0.009, 46.2]]",BTC-29NOV24-56000-P,66858.36,29188382041,1729886284698,-7.59835,-31.99949,38.97521,2e-05,-0.10771,3133.53,5.1,0.0,0.009,0.009,month,29NOV24,56000
40.6,40.5,60.18,50.57,BTC-29NOV24,68441.05,55.44,0.1755,0.1815,0.0,0.1784,9.6,0.223,0.141,0.16231568,0.1565,"[[0.1815, 40.5]]","[[0.1755, 40.6]]",BTC-29NOV24-57000-C,66858.36,29188423881,1729886284698,45.17187,-34.48388,42.91778,2e-05,0.87664,0.0,0.0,,,,month,29NOV24,57000
33.5,39.7,60.84,51.99,BTC-29NOV24,68441.05,56.66,0.189,0.194,0.0,0.1915,3.4,0.235,0.1545,0.1747751,0.1795,"[[0.194, 39.7]]","[[0.189, 33.5]]",BTC-29NOV24-56000-C,66858.36,29188413878,1729886284698,45.33726,-31.99918,38.97248,2e-05,0.89229,599294.04,50.0,4.058,0.1725,0.1795,month,29NOV24,56000
100.7,113.1,56.66,54.27,BTC-29NOV24,68441.05,55.44,0.0105,0.012,0.0,0.0112,111.9,0.042,0.0001,0.01524175,0.015,"[[0.012, 113.1]]","[[0.0105, 100.7]]",BTC-29NOV24-57000-P,66858.36,29188369028,1729886284698,-8.70833,-34.48408,42.92149,2e-05,-0.12337,0.0,0.0,,,,month,29NOV24,57000
37.6,41.9,59.13,50.47,BTC-29NOV24,68441.05,55.38,0.163,0.169,0.0,0.1663,6.5,0.212,0.128,0.14985133,0.1445,"[[0.169, 41.9]]","[[0.163, 37.6]]",BTC-29NOV24-58000-C,66858.36,29188427315,1729886284698,44.54435,-38.51875,47.99713,2e-05,0.85483,0.0,0.0,,,,month,29NOV24,58000
37.0,43.7,58.39,51.23,BTC-29NOV24,68441.05,55.26,0.1515,0.157,0.0,0.1545,30.0,0.2015,0.116,0.13813824,0.133,"[[0.157, 43.7]]","[[0.1515, 37.0]]",BTC-29NOV24-59000-C,66858.36,29188426866,1729886284698,43.77019,-42.46736,53.02415,2e-05,0.83111,0.0,0.0,,,,month,29NOV24,59000
